gvkey,keydevid,situation_y,Blue,White,Pink,Unsure
1013,3186609,"ADC Telecommunications Inc. announced that it is cutting 225 jobs and closing two facilities in an effort to cut costs. The job cuts will be made across all geographic regions, including the Americas.",1,,,
1013,4121312,"ADC Telecommunications Inc. announced that it will spend $900,000 to $1.2 million to eliminate about 25 jobs at the telecom services business in Germany. ADC announced that it notified workers of the terminations, which will begin on June 1, 2007 and finish by July 31, 2007. The company will not close any facilities as part of the restructuring plan.",,,1,
1013,4598572,"ADC Telecommunications Inc. announced that it will cut about 50 jobs in Germany as part of a restructuring. The company, which has about 8,600 employees, announced the cuts will only affect services units in Germany and will not lead to any facility closings. The job cuts will occur between Aug. 1 and Dec. 31. ADC expects future cash expenditures, mostly from the job cuts, of about $3.2 million to $3.6 million.",,,,1
1045,64522,"AMR Corp. announced that it will layoff approximately 20,000 employees, as a result of the September 11th terrorist attacks.",,,,1
1045,343972,"AMR Corp. announced it would cut 20,000 jobs at American, commuter airline American Eagle and Trans World Airlines, which has since been folded into American. Fewer employees were needed because American cut its flight schedule in the face of declining travel after the Sept. 11 terrorist attacks.",,,,1
1045,159209839,"AMR Corporation announced that it is eliminating about 13,000 jobs - while increasing flying by 20% and annual revenue by $1 billion. The proposed job cuts would include 4,600 mechanics and related workers; 4,200 fleet service and other Transport Workers Union members; 2,300 flight attendants; 1,400 management and support staff workers; 400 pilots; and a still undetermined number of agents, customer service representatives and planners. The company reported that it plans a 20% labor cost reduction - as well as more flying - by 2017.",1,,,
1072,182545,"Even though AVX Corporation's fiscal 2001 earning met Wall Street projections, the company cut 500 people from its staff, due to a slowing economy.",,,,1
1072,6101274,AVX has announced plans to shed 92 jobs from its Northern Ireland workforce.,,,,1
1075,318756,"Pinnacle West Capital Corp. announced that cut between 500 and 600 jobs or 7 percent to 8 percent of its work force citing weaker margins of profit from energy sales. The job cuts, designed to save $30 million to $35 million a year starting in 2003, will occur during the second half of this year. Pinnacle said it expects 2002 earnings to fall below those of 2001 because of lower power marketing margins. The earnings contribution from power marketing in 2002 is expected to be down 75 percent from 2001, when the segment reported net income of $172 million, or $2.03 per diluted share, the company said.",1,,,
63870,180858,Metris Companies Inc. plans to close its Champaign operations by March 2 eliminating 50 jobs.,,,,1
63870,90697,"A month after Metris Cos. abruptly fired long-time CEO Ron Zebeck, the company has slashed its top management ranks and cut 180 jobs overall as part of its strategy for returning to profitability.",,1,,
63874,3012812,"Stage Stores Inc. reported comparable store sales and total sales for the month, quarter to date and year to date ended June 2006. For the month, the company reported total sales of $133.4 million compared to the total sales of $100.0 million for the prior year period, while comparable store sales grew 3.5% versus an increase of 11.0% for the prior year period.For the quarter to date, the company reported total sales of $249.5 million compared to the total sales of $215.0 million for the prior year period, while comparable store sales grew 3.7% versus an increase of 9.1% for the prior year period.For the year to date, the company reported total sales of $593.0 million compared to the total sales of $525.1 million for the prior year period, while comparable store sales grew 3.4% versus an increase of 6.6% for the prior year period.As planned, during June, the Company closed its Peebles store in Harrisonburg, Virginia, and on July 4th, the Company closed its Peebles store in Cullman, Alabama.",,,1,
63874,340618826,"Stage Stores Inc. announced that as part of its initiative to shut its underperforming stores, they closed 23 stores in 2015 and expect to close approximately 30 more in 2016.",,,1,
63892,306612812,"National Oilwell Varco Inc. is shutting down its local operations by the end of 2015, affecting at least 150 employees. The company will close its Springfield site by the end of 2015, but declined to provide other details. The company filed a Worker Adjustment and Retraining Notification notice with the city of Springfield and state officials Tuesday, showing the move will affect about 150 workers. The notice filed with the city showed the company will permanently close its facility at 1895 W. Jefferson St., affecting all employees. It shows layoffs are expected to begin on Sept. 18 this year. All the layoffs will be complete by Dec. 18.",1,,,
63892,318824356,"National Oilwell Varco Inc. announced more job cuts on Dec. 7, 2015. The company will cut 900 more jobs in Norway due to fewer orders amid low oil prices. That's in addition to the 900 permanent jobs and 600 contractor workers the company already announced it would cut in Norway. Altogether, the cuts amount to about half of the company's Norwegian staff. Closer to home, the company has notified the Texas Workforce Commission of several job cuts due to facility closures throughout the year. Those notifications have included 120 job cuts in San Angelo, in West Texas; 85 in Houston; 150 in Willis, north of Houston; and 110 in Mineral Wells, in North Texas. To weather the extended oil slump, NOV has been taking steps to cut costs as it also acquires new technologies and businesses to expand and strengthen its portfolio. The company's cost-cutting measures include closing facilities.",1,,,
63892,383738394,"National Oilwell Varco Inc. plans to cut more Houston jobs as it consolidates locations.The oil field equipment and services company will relocate work from its SHP facility at 1530 W. Sam Houston Parkway in west Houston to its FM 529 facility in northwest Houston. The entire SHP facility will be consolidated with the 529 facility. Some SHP employees will be transferred to the 529 facility, but the company told 54 jobs will be cut. The company said it would excuse the affected employees on Sept. 1, 2016, but they would receive pay and benefits for at least 60 days. Separations are expected to begin Nov. 1, 2016, and be complete by Nov. 14, 2016. Affected workers are not represented by a union, and they do not have bumping rights, meaning workers with more seniority cannot take the jobs of those with less seniority.",1,,,
63907,281243803,"Education Management Corp. has laid off 225 people, both faculty and staff. The cuts were spread among the company's 53 Art Institute campuses. Fewer than 10 people were laid off at the school's Boulevard of the Allies campus.",,1,,
63907,334570983,"Education Management Corp. made another round of cuts, this time impacting dozens of employees at the art Institutes online division in both Pittsburgh and Phoenix. The exact number of layoffs weren't disclosed but it was reportedly more than 40 in Pittsburgh and a couple of dozen in Phoenix. The jobs were mostly support and administrative, not in instructors.",,,1,
63907,367718777,"Education Management Corporation has laid off 3% of its workforce, including 41 Pittsburgh-based workers. Some of the Pittsburgh staff worked at the corporate level, while others worked at The Art Institute of Pittsburgh.",,1,1,
7762,239915,"National Presto Industries has announced the closure of its plant in Jackson, Mississippi as the company is moving production to China.",1,,,
7772,93890,"National Semiconductor Corp. said it will cut 500 jobs, or 5 percent of its work force, and sell two divisions in an effort to become profitable. The job cuts mainly will hit manufacturing, sales and marketing operations, National Semiconductor announced. Santa Clara based National Semiconductor employs 10,000 people worldwide.",1,1,1,
7772,1744947,"National Semiconductor Corp. announced that it now plans to close its assembly and testplant in Toa Payoh, Singapore and consolidate the operations into its plants in Melaka, Malaysia, and Suzhou, China. The closure will affect 950 employees. It expects to take a related charge in the first quarter of fiscal 2006 of $27 million to $30 million and achieve quarterly costs savings of $4 million to $6 million.",1,,,
7772,5418953,"National Semiconductor Corp. will lay off about 130 workers and take a $10 million charge in the current quarter, as the company continues to refocus its product plans while confronting difficult business conditions. The affected jobs are primarily in the company's product line and support functions.",1,,1,
7772,6294980,"National Semiconductor Corporation announced plans to eliminate more than 1,600 jobs in an effort to cut expenses. Citing current economic conditions, the company set plans to cut 850 positions immediately in product lines, sales and marketing, manufacturing and support functions. It will also shutter an assembly and test plant in China and a wafer-fabrication plant in Texas, resulting in an additional 875 job cuts. These actions represent a 26% reduction in the company's workforce.",1,,,
7798,298160712,"NBTY Inc. announced that the company will close its Amityville manufacturing operation in October 2015 and outsource the work to a California company, a move that will eliminate 214 jobs. The plant is housed in two buildings, at 5100 and 7000 New Horizons Blvd. Layoffs will occur between July 31, 2015 and October 2, 2015.",1,,,
7866,733624,"New York Times Co. plans to shut down its television production unit, resulting in the loss of about 24 jobs, as it focuses its efforts on the Discovery Times Channel, a 50-50 joint venture it formed with Discovery Communications Inc. a year and a half ago. The production unit had about $15 million in annual revenues and produced Times-branded shows as well as shows for other channels, including PBS, A&E and Showtime.",,1,1,
7866,3470517,"The Times-News of Hendersonville will lay off 35 employees by April 1, 2007 when it shifts its printing and mailroom operations to a sister paper in Spartanburg, S.C. Both newspapers are owned by The New York Times Co. Both full- and part-time workers will be laid off.",1,,,
7866,5001263,"The New York Times Company is planning to cut about 12 newsroom jobs at its flagship newspaper. About a dozen support positions at the paper will be eliminated, including a number of clerical and secretarial jobs. Next year the paper will eliminate a few management jobs in administrative areas. The job cuts will not include any journalists.",,1,,
7866,5493379,"The New York Times Company laying off 15 journalists after the company acknowledged it fell short of its goal of getting 100 people to take voluntary buyout packages. The company would not confirm the precise number of layoffs. As of the April 22 deadline to accept the voluntary buyout package, insiders estimated that only about 70 people had stepped forward.",,1,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
